axis,direction,current_servo,commanded_servo,delta_servo,response_lag_ms
pitch,up,10.00,14.00,4.00,16
pitch,up,10.00,16.00,6.00,18
pitch,up,10.00,18.00,8.00,16
pitch,up,10.00,20.00,10.00,17
pitch,up,10.00,22.00,12.00,17
pitch,down,10.00,8.00,-2.00,17
pitch,down,10.00,6.00,-4.00,17
pitch,down,10.00,4.00,-6.00,16
pitch,down,10.00,2.00,-8.00,18
pitch,down,10.00,0.00,-10.00,16
pitch,down,10.00,-2.00,-12.00,17
pitch,down,10.00,-4.00,-14.00,17
pitch,down,10.00,-6.00,-16.00,17
pitch,down,10.00,-8.00,-18.00,17
pitch,down,10.00,-10.00,-20.00,17
pitch,up,15.00,17.00,2.00,16
pitch,up,15.00,19.00,4.00,17
pitch,up,15.00,21.00,6.00,17
pitch,down,15.00,13.00,-2.00,17
pitch,down,15.00,11.00,-4.00,16
pitch,down,15.00,9.00,-6.00,17
pitch,down,15.00,7.00,-8.00,17
pitch,down,15.00,5.00,-10.00,17
pitch,down,15.00,3.00,-12.00,16
pitch,down,15.00,1.00,-14.00,16
pitch,down,15.00,-1.00,-16.00,17
pitch,down,15.00,-3.00,-18.00,17
pitch,down,15.00,-5.00,-20.00,17
pitch,up,-5.00,-3.00,2.00,4294967295
pitch,up,-5.00,-1.00,4.00,43
pitch,up,-5.00,1.00,6.00,30
pitch,up,-5.00,3.00,8.00,29
pitch,up,-5.00,5.00,10.00,29
pitch,up,-5.00,7.00,12.00,29
pitch,up,-5.00,9.00,14.00,30
pitch,up,-5.00,11.00,16.00,16
pitch,up,-5.00,13.00,18.00,17
pitch,up,-5.00,15.00,20.00,17
pitch,down,-5.00,-7.00,-2.00,17
pitch,down,-5.00,-9.00,-4.00,17
pitch,down,-5.00,-11.00,-6.00,17
pitch,down,-5.00,-13.00,-8.00,17
pitch,down,-5.00,-15.00,-10.00,17
pitch,down,-5.00,-17.00,-12.00,16
pitch,down,-5.00,-19.00,-14.00,17
pitch,down,-5.00,-21.00,-16.00,17
pitch,up,-10.00,-8.00,2.00,16
pitch,up,-10.00,-6.00,4.00,43
pitch,up,-10.00,-4.00,6.00,29
pitch,up,-10.00,-2.00,8.00,30
pitch,up,-10.00,0.00,10.00,29
pitch,up,-10.00,2.00,12.00,30
pitch,up,-10.00,4.00,14.00,17
pitch,up,-10.00,6.00,16.00,17
pitch,up,-10.00,8.00,18.00,17
pitch,up,-10.00,10.00,20.00,17
pitch,down,-10.00,-12.00,-2.00,17
pitch,down,-10.00,-14.00,-4.00,17
pitch,down,-10.00,-16.00,-6.00,17
pitch,down,-10.00,-18.00,-8.00,16
pitch,down,-10.00,-20.00,-10.00,17
pitch,down,-10.00,-22.00,-12.00,17
pitch,up,-15.00,-13.00,2.00,17
pitch,up,-15.00,-11.00,4.00,44
pitch,up,-15.00,-9.00,6.00,30
pitch,up,-15.00,-7.00,8.00,30
pitch,up,-15.00,-5.00,10.00,30
pitch,up,-15.00,-3.00,12.00,29
pitch,up,-15.00,-1.00,14.00,16
pitch,up,-15.00,1.00,16.00,17
pitch,up,-15.00,3.00,18.00,17
pitch,up,-15.00,5.00,20.00,16
pitch,down,-15.00,-17.00,-2.00,16
pitch,down,-15.00,-19.00,-4.00,17
pitch,down,-15.00,-21.00,-6.00,17
pitch,up,-22.00,22.00,44.00,29
pitch,up,-20.00,20.00,40.00,58
pitch,up,-15.00,15.00,30.00,44
pitch,up,-10.00,10.00,20.00,43
pitch,up,-5.00,5.00,10.00,44
pitch,up,-22.00,18.00,40.00,29
pitch,up,-20.00,15.00,35.00,43
pitch,up,-20.00,10.00,30.00,43
pitch,up,-20.00,5.00,25.00,43
pitch,up,-15.00,20.00,35.00,43
pitch,up,-10.00,22.00,32.00,56
pitch,up,-5.00,20.00,25.00,42
pitch,up,-15.00,10.00,25.00,29
pitch,up,-10.00,5.00,15.00,44
pitch,up,-5.00,15.00,20.00,43
pitch,up,-22.00,0.00,22.00,30
pitch,up,-20.00,0.00,20.00,44
pitch,up,-15.00,0.00,15.00,43
pitch,up,-10.00,0.00,10.00,44
pitch,up,-5.00,0.00,5.00,44
pitch,down,22.00,-18.00,-40.00,29
pitch,down,20.00,-15.00,-35.00,55
pitch,down,20.00,-10.00,-30.00,56
pitch,down,20.00,-5.00,-25.00,43
pitch,down,15.00,-20.00,-35.00,42
